[INFO] | 2026-09-17 12:07:34 PM | analyzer.OptionsContract_fix | Analysis started at: 2026-09-17 12:07:34 PM
[INFO] | 2026-09-17 12:07:39 PM | analyzer.OptionsContract_fix | Version constraints: ['0.5.10', '0.5.10', '0.5.10', '0.5.10', '0.5.10', '0.5.10', '0.5.10', '0.5.10', '0.5.10', '0.5.10', '0.5.10']
[INFO] | 2026-09-17 12:07:39 PM | analyzer.OptionsContract_fix | solc version: v0.5.10
[INFO] | 2026-09-17 12:07:44 PM | analyzer.OptionsContract_fix | Callgraph generation started!
[INFO] | 2026-09-17 12:07:44 PM | analyzer.OptionsContract_fix | Callgraph generation finished!
[INFO] | 2026-09-17 12:07:44 PM | analyzer.OptionsContract_fix | Interprocedural CFG generation started!
[INFO] | 2026-09-17 12:07:45 PM | analyzer.OptionsContract_fix | Interprocedural CFG generation finished!
[INFO] | 2026-09-17 12:07:45 PM | analyzer.OptionsContract_fix | Storage dependency graph generation started!
[INFO] | 2026-09-17 12:07:45 PM | analyzer.OptionsContract_fix | Storage dependency graph generation finished!
[INFO] | 2026-09-17 12:07:45 PM | analyzer.OptionsContract_fix | Value Range Analysis started
[INFO] | 2026-09-17 12:07:45 PM | analyzer.OptionsContract_fix | Generating return summary for slitherConstructorConstantVariables
[INFO] | 2026-09-17 12:07:45 PM | analyzer.OptionsContract_fix | Return summary generated for slitherConstructorConstantVariables
[INFO] | 2026-09-17 12:07:45 PM | analyzer.OptionsContract_fix | Range graph generated
[INFO] | 2026-09-17 12:07:45 PM | analyzer.OptionsContract_fix | Processed function slitherConstructorConstantVariables
[INFO] | 2026-09-17 12:07:45 PM | analyzer.OptionsContract_fix | Generating return summary for constructor
[INFO] | 2026-09-17 12:07:45 PM | analyzer.OptionsContract_fix | Return summary generated for constructor
[INFO] | 2026-09-17 12:07:45 PM | analyzer.OptionsContract_fix | State variable assignement do not exist
[INFO] | 2026-09-17 12:07:45 PM | analyzer.OptionsContract_fix | Processed function constructor
[INFO] | 2026-09-17 12:07:45 PM | analyzer.OptionsContract_fix | Generating return summary for getPrice
[INFO] | 2026-09-17 12:07:45 PM | analyzer.OptionsContract_fix | Return summary generated for getPrice
[INFO] | 2026-09-17 12:07:45 PM | analyzer.OptionsContract_fix | State variable assignement do not exist
