[INFO] | 2026-09-17 01:20:24 PM | analyzer.OptionsContract | Analysis started at: 2026-09-17 01:20:24 PM
[INFO] | 2026-09-17 01:20:27 PM | analyzer.OptionsContract | Version constraints: ['0.5.10', '0.5.10', '0.5.10', '0.5.10', '0.5.10', '0.5.10', '0.5.10', '0.5.10', '0.5.10', '0.5.10', '0.5.10']
[INFO] | 2026-09-17 01:20:27 PM | analyzer.OptionsContract | solc version: v0.5.10
[INFO] | 2026-09-17 01:20:29 PM | analyzer.OptionsContract | Callgraph generation started!
[INFO] | 2026-09-17 01:20:29 PM | analyzer.OptionsContract | Callgraph generation finished!
[INFO] | 2026-09-17 01:20:29 PM | analyzer.OptionsContract | Interprocedural CFG generation started!
[INFO] | 2026-09-17 01:20:30 PM | analyzer.OptionsContract | Interprocedural CFG generation finished!
[INFO] | 2026-09-17 01:20:30 PM | analyzer.OptionsContract | Storage dependency graph generation started!
[INFO] | 2026-09-17 01:20:30 PM | analyzer.OptionsContract | Storage dependency graph generation finished!
[INFO] | 2026-09-17 01:20:30 PM | analyzer.OptionsContract | Value Range Analysis started
[INFO] | 2026-09-17 01:20:30 PM | analyzer.OptionsContract | Generating return summary for slitherConstructorConstantVariables
[INFO] | 2026-09-17 01:20:30 PM | analyzer.OptionsContract | Return summary generated for slitherConstructorConstantVariables
[INFO] | 2026-09-17 01:20:30 PM | analyzer.OptionsContract | Range graph generated
[INFO] | 2026-09-17 01:20:30 PM | analyzer.OptionsContract | Processed function slitherConstructorConstantVariables
[INFO] | 2026-09-17 01:20:30 PM | analyzer.OptionsContract | Generating return summary for constructor
[INFO] | 2026-09-17 01:20:30 PM | analyzer.OptionsContract | Return summary generated for constructor
[INFO] | 2026-09-17 01:20:30 PM | analyzer.OptionsContract | State variable assignement do not exist
[INFO] | 2026-09-17 01:20:30 PM | analyzer.OptionsContract | Processed function constructor
[INFO] | 2026-09-17 01:20:30 PM | analyzer.OptionsContract | Generating return summary for getPrice
[INFO] | 2026-09-17 01:20:30 PM | analyzer.OptionsContract | Return summary generated for getPrice
[INFO] | 2026-09-17 01:20:30 PM | analyzer.OptionsContract | State variable assignement do not exist
[INFO] | 2026-09-17 01:20:30 PM | analyzer.OptionsContract | Processed function getPrice
[INFO] | 2026-09-17 01:20:30 PM | analyzer.OptionsContract | Generating return summary for tokenAddress
[INFO] | 2026-09-17 01:20:30 PM | analyzer.OptionsContract | Return summary generated for tokenAddress
[INFO] | 2026-09-17 01:20:30 PM | analyzer.OptionsContract | State variable assignement do not exist
[INFO] | 2026-09-17 01:20:30 PM | analyzer.OptionsContract | Processed function tokenAddress
[INFO] | 2026-09-17 01:20:30 PM | analyzer.OptionsContract | Generating return summary for factoryAddress
[INFO] | 2026-09-17 01:20:30 PM | analyzer.OptionsContract | Return summary generated for factoryAddress
[INFO] | 2026-09-17 01:20:30 PM | analyzer.OptionsContract | State variable assignement do not exist
[INFO] | 2026-09-17 01:20:30 PM | analyzer.OptionsContract | Processed function factoryAddress
[INFO] | 2026-09-17 01:20:30 PM | analyzer.OptionsContract | Generating return summary for addLiquidity
[INFO] | 2026-09-17 01:20:30 PM | analyzer.OptionsContract | Return summary generated for addLiquidity
[INFO] | 2026-09-17 01:20:30 PM | analyzer.OptionsContract | State variable assignement do not exist
[INFO] | 2026-09-17 01:20:30 PM | analyzer.OptionsContract | Processed function addLiquidity
[INFO] | 2026-09-17 01:20:30 PM | analyzer.OptionsContract | Generating return summary for removeLiquidity
[INFO] | 2026-09-17 01:20:30 PM | analyzer.OptionsContract | Return summary generated for removeLiquidity
[INFO] | 2026-09-17 01:20:30 PM | analyzer.OptionsContract | State variable assignement do not exist
[INFO] | 2026-09-17 01:20:30 PM | analyzer.OptionsContract | Processed function removeLiquidity
[INFO] | 2026-09-17 01:20:30 PM | analyzer.OptionsContract | Generating return summary for getEthToTokenInputPrice
[INFO] | 2026-09-17 01:20:30 PM | analyzer.OptionsContract | Return summary generated for getEthToTokenInputPrice
[INFO] | 2026-09-17 01:20:30 PM | analyzer.OptionsContract | State variable assignement do not exist
[INFO] | 2026-09-17 01:20:30 PM | analyzer.OptionsContract | Processed function getEthToTokenInputPrice
[INFO] | 2026-09-17 01:20:30 PM | analyzer.OptionsContract | Generating return summary for getEthToTokenOutputPrice
[INFO] | 2026-09-17 01:20:30 PM | analyzer.OptionsContract | Return summary generated for getEthToTokenOutputPrice
[INFO] | 2026-09-17 01:20:30 PM | analyzer.OptionsContract | State variable assignement do not exist
[INFO] | 2026-09-17 01:20:30 PM | analyzer.OptionsContract | Processed function getEthToTokenOutputPrice
