[INFO] | 2026-09-17 01:09:59 PM | analyzer.KeepRandomBeaconOperator | Analysis started at: 2026-09-17 01:09:59 PM
[INFO] | 2026-09-17 01:10:05 PM | analyzer.KeepRandomBeaconOperator | Version constraints: ['^0.5.0', '^0.5.0', '^0.5.0', '^0.5.0', '^0.5.0', '^0.5.0', '^0.5.5', '^0.5.0', '^0.5.0', '^0.5.4', '^0.5.4', '^0.5.4', '^0.5.4', '^0.5.4', '^0.5.4', '^0.5.4', '^0.5.4', '^0.5.4', '^0.5.4', '^0.5.0', '^0.5.4', '^0.5.4', '^0.5.4']
[INFO] | 2026-09-17 01:10:05 PM | analyzer.KeepRandomBeaconOperator | solc version: v0.5.5
[INFO] | 2026-09-17 01:10:16 PM | analyzer.KeepRandomBeaconOperator | Callgraph generation started!
[INFO] | 2026-09-17 01:10:16 PM | analyzer.KeepRandomBeaconOperator | Callgraph generation finished!
[INFO] | 2026-09-17 01:10:16 PM | analyzer.KeepRandomBeaconOperator | Interprocedural CFG generation started!
[INFO] | 2026-09-17 01:10:16 PM | analyzer.KeepRandomBeaconOperator | Interprocedural CFG generation finished!
[INFO] | 2026-09-17 01:10:16 PM | analyzer.KeepRandomBeaconOperator | Storage dependency graph generation started!
[WARNING] | 2026-09-17 01:10:17 PM | analyzer.KeepRandomBeaconOperator | Issues with getting the high level call destination address
[WARNING] | 2026-09-17 01:10:17 PM | analyzer.KeepRandomBeaconOperator | Issues with getting the high level call destination address
[INFO] | 2026-09-17 01:10:17 PM | analyzer.KeepRandomBeaconOperator | Storage dependency graph generation finished!
[INFO] | 2026-09-17 01:10:17 PM | analyzer.KeepRandomBeaconOperator | Value Range Analysis started
[INFO] | 2026-09-17 01:10:17 PM | analyzer.KeepRandomBeaconOperator | Generating return summary for slitherConstructorConstantVariables
[INFO] | 2026-09-17 01:10:17 PM | analyzer.KeepRandomBeaconOperator | Return summary generated for slitherConstructorConstantVariables
[INFO] | 2026-09-17 01:10:17 PM | analyzer.KeepRandomBeaconOperator | Range graph generated
[INFO] | 2026-09-17 01:10:17 PM | analyzer.KeepRandomBeaconOperator | Processed function slitherConstructorConstantVariables
[INFO] | 2026-09-17 01:10:17 PM | analyzer.KeepRandomBeaconOperator | Generating return summary for add
[INFO] | 2026-09-17 01:10:17 PM | analyzer.KeepRandomBeaconOperator | Return summary generated for add
[INFO] | 2026-09-17 01:10:17 PM | analyzer.KeepRandomBeaconOperator | State variable assignement do not exist
[INFO] | 2026-09-17 01:10:17 PM | analyzer.KeepRandomBeaconOperator | Processed function add
[INFO] | 2026-09-17 01:10:17 PM | analyzer.KeepRandomBeaconOperator | Generating return summary for sub
[INFO] | 2026-09-17 01:10:17 PM | analyzer.KeepRandomBeaconOperator | Return summary generated for sub
[INFO] | 2026-09-17 01:10:17 PM | analyzer.KeepRandomBeaconOperator | State variable assignement do not exist
[INFO] | 2026-09-17 01:10:17 PM | analyzer.KeepRandomBeaconOperator | Processed function sub
[INFO] | 2026-09-17 01:10:17 PM | analyzer.KeepRandomBeaconOperator | Generating return summary for mul
[INFO] | 2026-09-17 01:10:17 PM | analyzer.KeepRandomBeaconOperator | Return summary generated for mul
[INFO] | 2026-09-17 01:10:17 PM | analyzer.KeepRandomBeaconOperator | State variable assignement do not exist
