[INFO] | 2026-09-17 11:56:48 AM | analyzer.Governance_fix | Analysis started at: 2026-09-17 11:56:48 AM
[INFO] | 2026-09-17 11:56:51 AM | analyzer.Governance_fix | Version constraints: ['^0.5.8']
[INFO] | 2026-09-17 11:56:51 AM | analyzer.Governance_fix | solc version: v0.5.8
[INFO] | 2026-09-17 11:56:56 AM | analyzer.Governance_fix | Callgraph generation started!
[INFO] | 2026-09-17 11:56:56 AM | analyzer.Governance_fix | Callgraph generation finished!
[INFO] | 2026-09-17 11:56:56 AM | analyzer.Governance_fix | Interprocedural CFG generation started!
[INFO] | 2026-09-17 11:56:56 AM | analyzer.Governance_fix | Interprocedural CFG generation finished!
[INFO] | 2026-09-17 11:56:56 AM | analyzer.Governance_fix | Storage dependency graph generation started!
[WARNING] | 2026-09-17 11:56:57 AM | analyzer.Governance_fix | Issues with getting the high level call destination address
[WARNING] | 2026-09-17 11:56:57 AM | analyzer.Governance_fix | Issues with getting the high level call destination address
[WARNING] | 2026-09-17 11:56:57 AM | analyzer.Governance_fix | Issues with getting the high level call destination address
[WARNING] | 2026-09-17 11:56:57 AM | analyzer.Governance_fix | Issues with getting the high level call destination address
[WARNING] | 2026-09-17 11:56:57 AM | analyzer.Governance_fix | Issues with getting the high level call destination address
[INFO] | 2026-09-17 11:56:57 AM | analyzer.Governance_fix | Storage dependency graph generation finished!
[INFO] | 2026-09-17 11:56:57 AM | analyzer.Governance_fix | Value Range Analysis started
[INFO] | 2026-09-17 11:56:57 AM | analyzer.Governance_fix | Generating return summary for slitherConstructorConstantVariables
[INFO] | 2026-09-17 11:56:57 AM | analyzer.Governance_fix | Return summary generated for slitherConstructorConstantVariables
[INFO] | 2026-09-17 11:56:57 AM | analyzer.Governance_fix | Range graph generated
[INFO] | 2026-09-17 11:56:57 AM | analyzer.Governance_fix | Processed function slitherConstructorConstantVariables
[INFO] | 2026-09-17 11:56:57 AM | analyzer.Governance_fix | Generating return summary for slitherConstructorConstantVariables
[INFO] | 2026-09-17 11:56:57 AM | analyzer.Governance_fix | Return summary generated for slitherConstructorConstantVariables
[INFO] | 2026-09-17 11:56:57 AM | analyzer.Governance_fix | Range graph generated
[INFO] | 2026-09-17 11:56:57 AM | analyzer.Governance_fix | Processed function slitherConstructorConstantVariables
[INFO] | 2026-09-17 11:56:57 AM | analyzer.Governance_fix | Generating return summary for slitherConstructorConstantVariables
[INFO] | 2026-09-17 11:56:57 AM | analyzer.Governance_fix | Return summary generated for slitherConstructorConstantVariables
[INFO] | 2026-09-17 11:56:57 AM | analyzer.Governance_fix | Range graph generated
[INFO] | 2026-09-17 11:56:57 AM | analyzer.Governance_fix | Processed function slitherConstructorConstantVariables
[INFO] | 2026-09-17 11:56:57 AM | analyzer.Governance_fix | Generating return summary for slitherConstructorConstantVariables
[INFO] | 2026-09-17 11:56:57 AM | analyzer.Governance_fix | Return summary generated for slitherConstructorConstantVariables
[INFO] | 2026-09-17 11:56:57 AM | analyzer.Governance_fix | Range graph generated
[INFO] | 2026-09-17 11:56:57 AM | analyzer.Governance_fix | Processed function slitherConstructorConstantVariables
[INFO] | 2026-09-17 11:56:57 AM | analyzer.Governance_fix | Generating return summary for slitherConstructorConstantVariables
[INFO] | 2026-09-17 11:56:57 AM | analyzer.Governance_fix | Return summary generated for slitherConstructorConstantVariables
[INFO] | 2026-09-17 11:56:57 AM | analyzer.Governance_fix | Range graph generated
[INFO] | 2026-09-17 11:56:57 AM | analyzer.Governance_fix | Processed function slitherConstructorConstantVariables
[INFO] | 2026-09-17 11:56:57 AM | analyzer.Governance_fix | Generating return summary for slitherConstructorConstantVariables
[INFO] | 2026-09-17 11:56:57 AM | analyzer.Governance_fix | Return summary generated for slitherConstructorConstantVariables
[INFO] | 2026-09-17 11:56:57 AM | analyzer.Governance_fix | Range graph generated
[INFO] | 2026-09-17 11:56:57 AM | analyzer.Governance_fix | Processed function slitherConstructorConstantVariables
[INFO] | 2026-09-17 11:56:57 AM | analyzer.Governance_fix | Generating return summary for add
[INFO] | 2026-09-17 11:56:57 AM | analyzer.Governance_fix | Return summary generated for add
[INFO] | 2026-09-17 11:56:57 AM | analyzer.Governance_fix | State variable assignement do not exist
[INFO] | 2026-09-17 11:56:57 AM | analyzer.Governance_fix | Processed function add
[INFO] | 2026-09-17 11:56:57 AM | analyzer.Governance_fix | Generating return summary for sub
[INFO] | 2026-09-17 11:56:57 AM | analyzer.Governance_fix | Return summary generated for sub
[INFO] | 2026-09-17 11:56:57 AM | analyzer.Governance_fix | State variable assignement do not exist
[INFO] | 2026-09-17 11:56:57 AM | analyzer.Governance_fix | Processed function sub
[INFO] | 2026-09-17 11:56:57 AM | analyzer.Governance_fix | Generating return summary for mul
[INFO] | 2026-09-17 11:56:57 AM | analyzer.Governance_fix | Return summary generated for mul
[INFO] | 2026-09-17 11:56:57 AM | analyzer.Governance_fix | State variable assignement do not exist
